,Review,Cleaned_Review,Category
4787,"Spacious rooms, free bed added in was fantastic. Thank you!",spacious room free bed add fantastic thank,1
4788,Had a problem with a window and a bath plug. Very promptly dealt with and resolved positively. Staff very helpful and personable.,problem window bath plug promptly deal resolve positively staff helpful personable,1
4789,The only thing this place has going for it is the location.,thing place go location,1
4790,Rooms were big but the furniture a little dated however everything was very clean. Close to underground which is just across the bridge and had a few shops like tesco express and subway near which was handy..,room big furniture little date however everything clean close underground across bridge shop like tesco express subway near handy,1
4791,Location,location,1
4792,"Oh, this hotel is a joy. Having stayed there, I felt rejuvenuated, revitalised and like the world was a better place. I booked a room without windows (due to budget constraints :) and on arrival the wonderful Tetiana at Reception gave me a complimentary upgrade. I opened the door to my room and imagine my delight: a triple room with a river view! I know they can't do this for every customer with every stay, but how grateful I was. It made my day/week/month! The staff are wonderful - a special mention for reception and housekeeping - the rooms are pristine and decorated so nicely. Most if not all rooms have bathtubs and - joy of joys - I slept well. Couldn't ask for more.",oh hotel joy stay felt rejuvenuated revitalise like world better place book room without windows due budget constraints arrival wonderful tetiana reception give complimentary upgrade open door room imagine delight triple room river view know not every customer every stay grateful make dayweekmonth staff wonderful special mention reception housekeep room pristine decorate nicely not room bathtubs joy joy sleep well could not ask,1
4793,I often stay there when I come to London. It's clean comfortable well located and nice breakfast.,often stay come london clean comfortable well locate nice breakfast,1
4794,Very clean and lovely staff,clean lovely staff,1
4795,"Nice location, cheap",nice location cheap,1
4796,"Clean room, friendly staff. Complimentary room upgrade!",clean room friendly staff complimentary room upgrade,1
4797,L,l,1
4798,The hotel was available at short notice and was very inexpensive.,hotel available short notice inexpensive,1
4799,The bed was uncomfortable and the decor needs attention,bed uncomfortable decor need attention,1
4800,"Everything about the hotel was perfect. The price, the facilities, the location, the interior and exterior, the staff, the restaurants- literally everything.",everything hotel perfect price facilities location interior exterior staff restaurants literally everything,1
4801,Nothing,nothing,1
4802,The room stank of raw sewerage,room stink raw sewerage,1
4803,It was convienient but hard to find at first.,convienient hard find first,1
4804,It was fit for purpose. The staff were very friendly and helpful. They were very accommodating to meet our needs. A really nice breakfast and comfortable beds,fit purpose staff friendly helpful accommodate meet need really nice breakfast comfortable bed,1
4805,Everyone,everyone,1
4806,"Location was good , availability of late booking. Layout of room simple / nice",location good availability late book layout room simple nice,1
4807,"Location, room with a view, heating/air con that worked.",location room view heatingair con work,1
4808,I liked that no one came to disturb us. We had our own privacy space. It was very welcoming.,like one come disturb us privacy space welcome,1
4809,"Hotel was tired and dated. Needs a refit. Was not told on booking about photo id. Was supposedly 'upgraded'. Bed was two singles pushed together. Could feel the join. Was informed pizza restaurant was open until 1am, when ordering told had to eat in the lobby as restaurant was closed. Had to eat at a coffee table.",hotel tire date need refit not tell book photo id supposedly upgrade bed two single push together could feel join inform pizza restaurant open order tell eat lobby restaurant close eat coffee table,1
4810,Location.,location,1
4811,It was clean,clean,1
4812,The view of the river beautiful,view river beautiful,1
4813,Excellent view great value for money .i raised a health and safety issue due to glass on the corridor and it was dealt with promptly by the staff,excellent view great value money raise health safety issue due glass corridor deal promptly staff,1
4814,The view was nice.,view nice,1
4815,"The car park was to low. The double bed was 2 single bed pushed together. I requested for ice, I was told to pay £5 for service charge and Togo down and get it myself. Shocking",car park low double bed single bed push together request ice tell pay service charge togo get shock,1
4816,it Was all about the location for me. It was ideal for work the next day.,location ideal work next day,1
4817,"To be honest, nothing. Well, the concierge service was good. More info in the ""not like"" block.",honest nothing well concierge service good info not like block,1
4818,"Stayed for one night for work, was perfect",stay one night work perfect,1
4819,Surrounded by filthy water,surround filthy water,1
4820,Tv was working,tv work,1
4821,Only the location was ok,location ok,1
4822,"Stayed for 3 nights & thoroughly enjoyed my stay. The location was great, just a short stroll away from the underground station and access to the rest of London. The hotel itself was terrific. The staff were friendly, polite and very helpful. The food was great, had one of the best steaks I've eaten in ages and the lobby was a great place to relax in the evening and have a drink while looking out over the river. Would recommend the Britannia to anyone looking for accommodation in the area and will definitely stay here again.",stay nights thoroughly enjoy stay location great short stroll away underground station access rest london hotel terrific staff friendly polite helpful food great one best steaks I eat age lobby great place relax even drink look river would recommend britannia anyone look accommodation area definitely stay,1
4823,The staff was fantastic,staff fantastic,1
4824,Hash browns at breakfast were good,hash brown breakfast good,1
4825,nothing,nothing,1
4826,That there was nice view and rooms allowed to Smoke.,nice view room allow smoke,1
4827,Clean place,clean place,1
4828,Nice sized jacuzzi bathtub.,nice size jacuzzi bathtub,1
4829,"The room I booked was not available, even though I had asked for ""late arrival. The receptionist was rude and unhelpful as was her manager. The bed linen looked dirty and was threadbare. The room felt unclean and generally in a poor state.",room book not available even though ask late arrival receptionist rude unhelpful manager bed linen look dirty threadbare room felt unclean generally poor state,1
4830,Appalling in general - although reasonably good location - but next to a building site.,appal general although reasonably good location next build site,1
4831,The location,location,1
4832,The room was basic but it was fair considering the cost of the room,room basic fair consider cost room,1
4833,Clean rooms and free luggage deposit,clean room free luggage deposit,1
4834,"Great decoration, easy to get to the hotel via public transport, simple but delicious breakfast.",great decoration easy get hotel via public transport simple delicious breakfast,1
4835,"Nice workers, nice room.",nice workers nice room,1
4836,Location,location,1
4837,The hotel was a bit dated but for London pretty good value,hotel bite date london pretty good value,1
4838,Room wasn't clean and the bed wasn't comfortable.,room not clean bed not comfortable,1
4839,"Great personal, especially receptionist Tatjana very polite and helpful.",great personal especially receptionist tatjana polite helpful,1
4840,I liked the location and the staff,like location staff,1
4841,Nothing,nothing,1
4842,nothing,nothing,1
4843,It had good ratings but nowhere near as nice as looks in pics or expectations,good rat nowhere near nice look pics expectations,1
4844,I had really bad experience this time room was dirty beds were not comfortable I went to reception to ask them if they can change my room they said they can’t do anything,really bad experience time room dirty bed not comfortable go reception ask change room say not anything,1
4845,"The size of the room, iron and ironing board already in room. Bed was comfy.",size room iron iron board already room bed comfy,1
4846,Toothpaste and new slippers for the room,toothpaste new slippers room,1
4847,They helped me to double bed room when i had two single beds.,help double bed room two single bed,1
4848,Entrance looks nice,entrance look nice,1
4849,I like staf reception her name is Tatyana she is so friendly and so polite and she always smiles💋💋💋💋🙏🙏thank you.,like staf reception name tatyana friendly polite always smilesthank,1
4850,clean place...good value and excellent location,clean placegood value excellent location,1
4851,"Great Hotel in a safe and convenient location. A short 5 minute stroll to all that Canary Wharf has to offer with quick links to London Bridge, Westminster and Stratford. The breakfast is decent with lots of options to suit everyone. The friendly staff and in particular Tatiana have been extremely helpful during our stay at this fabulous hotel.",great hotel safe convenient location short minute stroll canary wharf offer quick link london bridge westminster stratford breakfast decent lot options suit everyone friendly staff particular tatiana extremely helpful stay fabulous hotel,1
4852,Can't think of anything I liked,not think anything like,1
4853,Nice view,nice view,1
4854,Spacious room and bathroom. Clean. Quiet. Excellent value for money.,spacious room bathroom clean quiet excellent value money,1
4855,Looks Victorian,look victorian,1
4856,convenient and reasonably priced. Staff were brilliant .,convenient reasonably price staff brilliant,1
4857,The character of the furniture,character furniture,1
4858,Value for money and the staff were lovely,value money staff lovely,1
4859,"Nice lobby/bar/restaurant area, good location for jubilee line and south bank.
And for London - excellent value for money and an OK location.",nice lobbybarrestaurant area good location jubilee line south bank london excellent value money ok location,1
4860,No free WiFi in the rooms.,free wifi room,1
4861,bathroom,bathroom,1
4862,Properly is Good,properly good,1
4863,The staff who are just lovely and couldn't be more helpfull,staff lovely could not helpfull,1
4864,"The bed was ok, not the best, but comfy. :)",bed ok not best comfy,1
4865,Staff were ok,staff ok,1
4866,Location & Accessibility,location accessibility,1
4867,"The staff was very helpful, I got a great offer for a room upgrade and it was very spacious, clean and comfortable to sleep. They even had ironing board to save my shirts. Also breakfast was great.",staff helpful get great offer room upgrade spacious clean comfortable sleep even iron board save shirt also breakfast great,1
4868,Great value for money!,great value money,1
4869,Given a double room after specifically booking a twin .was told hotel wad fully booked after 5 minutes was then given a twin room I then had to turn my mattress as the springs were digging in my back and i also felt that the bar staff lady wasnt helpful as i wanted a gin glass for my gin and was told we dont have any so i went without as i wasnt paying 5 pound to drink from a tumbler.The bar area was cold so we went to our room and had to wrap in an extra blanket as the room was also cold,give double room specifically book twin tell hotel wad fully book minutes give twin room turn mattress spring dig back also felt bar staff lady not helpful want gin glass gin tell not go without not pay pound drink tumblerthe bar area cold go room wrap extra blanket room also cold,1
4870,Mattresses were quite loud and could do with updating,mattresses quite loud could update,1
4871,Staff were welcoming & helpful.. good facilities clean & comfortable fantastic value for money... highly recommend,staff welcome helpful good facilities clean comfortable fantastic value money highly recommend,1
4872,"Staff very friend AND professional 
Room service first class
Warm ambience throughout the hotel",staff friend professional room service first class warm ambience throughout hotel,1
4873,Ease of checkin and concierge advice. Location Location Location. Proximity to the station. Convenience store & restaurants locally,ease checkin concierge advice location location location proximity station convenience store restaurants locally,1
4874,They gave us a complimentary upgrade. The staff were so helpful. Plenty of tea coffee etc. Lovely room. Close to Heron Quay and Canary Wharf with lots of shops.,give us complimentary upgrade staff helpful plenty tea coffee etc lovely room close heron quay canary wharf lot shop,1
4875,Easy to find and quite close to the tube station.,easy find quite close tube station,1
4876,"The location and value of the hotel. The rooms are generally clean, they are a bit dated but alot better than other hotels that charge alot more.",location value hotel room generally clean bite date alot better hotels charge alot,1
4877,The only redeeming feature of this hotel was the view from a window with no way to let in fresh air.,redeem feature hotel view window way let fresh air,1
4878,Character,character,1
4879,Large hotel with 3 dining rooms to choose from and 2 bars sitting on the edge of water literally even built on it.,large hotel din room choose bar sit edge water literally even build,1
4880,The staffs,staff,1
4881,"The staff were lovely, I havnt been in that hotel for 20years and it's very tired the sofas in reception are taped, ripped and need changing it nèeds TLC from top to toe, needs updating and attention, such a shame",staff lovely havnt hotel years tire sofas reception tap rip need change neds tlc top toe need update attention shame,1
4882,Could feel every single spring in the bed,could feel every single spring bed,1
4883,"It’s a timeless ambiance, perhaps unintentional, but it brings back memories. Hope a better upkeep will keep it through time.",timeless ambiance perhaps unintentional bring back memories hope better upkeep keep time,1
4884,Free upgrade to top floor grand suite was incredible,free upgrade top floor grand suite incredible,1
4885,"Lovely staff, clean rooms and a great location!",lovely staff clean room great location,1
4886,it was close to where I needed to be.,close need,1
4887,"Value for money, great location for 02, good size room, lovely bar area looking out onto wharf",value money great location good size room lovely bar area look onto wharf,1
4888,I was in a comfortable room with enough space. Bed is good en solid. It has a ironing kit in the room.,comfortable room enough space bed good en solid iron kit room,1
4889,"Lovely big room, great views, very comfy.
The pizzeria did a lovely meal.",lovely big room great view comfy pizzeria lovely meal,1
4890,Check in was smooth,check smooth,1
4891,Hotel was terrible,hotel terrible,1
4892,First impressions on arrival was lovely very impressed on the exterior and interior of the lobby and bar... Food was fairly priced and food was lovely,first impressions arrival lovely impress exterior interior lobby bar food fairly price food lovely,1
4893,The hotel took 170 pound out of my account without authorisation I'm in the process of claiming this back the staff was not helpful.and rude the bar was very expensive the breakfast was 17 pound pp and was like a plate of vomit do not stay here the was no Windows in the room it's was like a dungeon,hotel take pound account without authorisation I process claim back staff not helpfuland rude bar expensive breakfast pound pp like plate vomit not stay windows room like dungeon,1
4894,"We booked a room with a double bed, arrived at check in and was offered a room with 2 single beds as the double room she was going to give us on the 2nd was near a lift and would be noisy, we said we don’t mind as we were both so tired we would be able to sleep regardless, she persisted to tell us the single bed room would be better for us we felt so pressured we eventually said ok but then I thought no I’m with my partner why should we sleep in separate beds so then we asked to to have the room we originally booked to which she replied I’m gonna give you a better room on the 7th floor with no extra charge, turns out it was a room with 2 single beds pushed together with the most uncomfortable mattress on it that I hardly slept all night it was like she was determined to get us in a 2 single bed room no matter what I was so upset and if it weren’t for my partner having a headache I would have insisted we got the double bed we originally booked",book room double bed arrive check offer room single bed double room go give us nd near lift would noisy say not mind tire would able sleep regardless persist tell us single bed room would better us felt pressure eventually say ok think I partner sleep separate bed ask room originally book reply I go give better room th floor extra charge turn room single bed push together uncomfortable mattress hardly sleep night like determine get us single bed room matter upset not partner headache would insist get double bed originally book,1
4895,The location for the o2 really good.,location really good,1
4896,"Excellent clean room - funky up spiral staircase, comfy bed and pillows, charming staff, basic breakfast but perfectly adequate. Ideal for short break with my daughter.",excellent clean room funky spiral staircase comfy bed pillow charm staff basic breakfast perfectly adequate ideal short break daughter,1
4897,I like the size of the room that compensated for no windows. Very comfy and great for one night.,like size room compensate windows comfy great one night,1
4898,Huge room and comfy. Good food in Indian. Managed to leave charger and staff helpful to recover.,huge room comfy good food indian manage leave charger staff helpful recover,1
4899,The first room was cold as heating was not working but reception staff were very helpful and upgraded my room.,first room cold heat not work reception staff helpful upgrade room,1
4900,Britannia is very cosy and comfortable. The atmosphere is great and facilities are clean.,britannia cosy comfortable atmosphere great facilities clean,1
4901,"Location,",location,1
4902,I really like the staff. Many thanks to Greta and Tina x,really like staff many thank greta tina x,1
4903,Cheap and reasonable location,cheap reasonable location,1
4904,If mistakes are made compensation should be offered wether it be an upgrade or something .better bed quality.,mistake make compensation offer wether upgrade something better bed quality,1
4905,"I never complain and i stay away ALOT but I had a very poor experience at this hotel. We arrived early as our flight was in at 6am we tried to book into the hotel abit early and the staff member that greeted us was so unfriendly. Finally at 12 am we got booked in and had to pay an extra £10 for booking in early which was fair enough. However 10 minutes later our friends also went to book in and because it was past 12 oclock did not have to pay the fee!!! They new we were all together and I thought it was extremely unfair. We were never told there was a swimming pool in the hotel or that it was closed. we wern't told anything about any facilities in the hotel were to get them i'e breakfast.bar, gym Nothing was explained to us. 
We had booked a non-refundable room last year and obviously like any other hotel we thought it had been paid a year ago however the hotel insisted we hadn't. I am still looking into this but be careful if booking that you on't persume like I did.
At 8am every morning of our stay house keeping knocked our door and shouted house keeping!!!!They were so so noisy. There was noise all night in the hotel we didn't sleep a hole night the 3nights we were there.
Wifi wasn't free infact it was extremely pricey by the day. Over all i would not recommend this hotel.",never complain stay away alot poor experience hotel arrive early flight try book hotel abit early staff member greet us unfriendly finally get book pay extra book early fair enough however minutes later friends also go book past clock not pay fee new together think extremely unfair never tell swim pool hotel close wernt tell anything facilities hotel get ie breakfastbar gym nothing explain us book nonrefundable room last year obviously like hotel think pay year ago however hotel insist not still look careful book ont persume like every morning stay house keep knock door shout house keepingthey noisy noise night hotel not sleep hole night nights wifi not free infact extremely pricey day would not recommend hotel,1
4906,I liked nothing everything was a mess,like nothing everything mess,1
4907,Friendly staff and great location,friendly staff great location,1
4908,Great rooms and restaurants,great room restaurants,1
4909,"Good location, nice view that's it nothing else, room was old and tired bed was clean but thin mattress, half the lights didn't work carpet threadbare seriously what a waste of money this place is! DON'T STAY THERE IT'S TERRIBLE!!",good location nice view nothing else room old tire bed clean thin mattress half light not work carpet threadbare seriously waste money place not stay terrible,1
4910,"Excellent stay, superb staff.",excellent stay superb staff,1
4911,Big Room Great Food,big room great food,1
4912,I really like the canal view from my room. Really appreciate it.,really like canal view room really appreciate,1
4913,Location as close to Canary Wharf,location close canary wharf,1
4914,the room was nice and clean very good service on check in nice area to stay,room nice clean good service check nice area stay,1
4915,Location is excellent,location excellent,1
4916,"Great location.
Really helpful and friendly staff",great location really helpful friendly staff,1
4917,Only the location,location,1
4918,nice and clean hotel in good location.,nice clean hotel good location,1
4919,"This was my 5th stay at the Britannia. As pre usual the facilities have been great, staff are very polite & attentive. Always a pleasure.",th stay britannia pre usual facilities great staff polite attentive always pleasure,1
4920,The view was brilliant and it was continently close to the tube,view brilliant continently close tube,1
4921,Location,location,1
4922,"Nothing!!, Leaving best part",nothing leave best part,1
4923,Shabby hotel where everything is old and nothing works. Worst beds ever. Sleepless nights.,shabby hotel everything old nothing work worst bed ever sleepless nights,1
4924,"Great value in Canary Wharf, excellent location and facilities",great value canary wharf excellent location facilities,1
4925,Everything !,everything,1
4926,Friendly staff.,friendly staff,1
4927,Location,location,1
4928,"Staff was not helpfull. We did not get wi fi pasword. The room was not clean I could see stains on the bed and there was bad smell as well. Coffee wss extremelly expensive, small cup and awful quality.",staff not helpfull not get wi fi pasword room not clean could see stain bed bad smell well coffee wss extremelly expensive small cup awful quality,1
4929,"I loved the impeccable cleanliness of the room, but in particular the huge bathroom with beautiful jacuzzi bath. Well worth the money and will be staying again in the future.",love impeccable cleanliness room particular huge bathroom beautiful jacuzzi bath well worth money stay future,1
4930,I've always stayed here.,I always stay,1
4931,Personalul de la receptie,personalul de la receptie,1
4932,Everything was great!,everything great,1
4933,Great hospitality at the reception. The room size was very good and the view was amazing. Will go again with family,great hospitality reception room size good view amaze go family,1
4934,All good,good,1
4935,Reasonably comfortable hotel for a short stay.,reasonably comfortable hotel short stay,1
4936,"Agostin is brilliant, the room amazing .",agostin brilliant room amaze,1
4937,Relatively close to Greenwich and near sea food market,relatively close greenwich near sea food market,1
4938,Nothing,nothing,1
4939,"An unexpected upgrade, thanks guys!",unexpected upgrade thank guy,1
4940,"unfriendly agents, no bell boy, no tel service, no convenient wifi service, unacceptable maid service to name only a few.",unfriendly agents bell boy tel service convenient wifi service unacceptable maid service name,1
4941,"The hotel is in a good location.
The food is good. 
The staff are friendly.
The hotel is clean.
A big bonus is the secure parking.",hotel good location food good staff friendly hotel clean big bonus secure park,1
4942,Very comfortable. Free room upgrade. Decent breakfast. Good price. Great location. No real faults. Did what it said on the tin. Good value.,comfortable free room upgrade decent breakfast good price great location real fault say tin good value,1
4943,"The location of the hotel, quiet and relaxing. Friendly staff, excellent choice of venues to eat. Lovely atmosphere in the lead up to Xmas.",location hotel quiet relax friendly staff excellent choice venues eat lovely atmosphere lead xmas,1
4944,I guess for cost of room adequate,guess cost room adequate,1
4945,Reasonably comfortable.,reasonably comfortable,1
4946,Great hotel for a great price and a fantastic room.,great hotel great price fantastic room,1
4947,"great value for money.Cannot complain for the price. Clean. Reasonable room,",great value moneycannot complain price clean reasonable room,1
4948,"very nice hotel for money , great value booked for one night for daughter age 20 and her friend to watch a show at Queen Theatre . Hotel is near docklands and canary wharf easy to get anywhere on Jubilee Line ifit is working (alternatively an Uber from centre is £6 )",nice hotel money great value book one night daughter age friend watch show queen theatre hotel near docklands canary wharf easy get anywhere jubilee line ifit work alternatively uber centre,1
4949,Excellent accommodation. Comfortable bed.,excellent accommodation comfortable bed,1
4950,"Very cold in the room 
The kettle wasn’t working 
And the receptionist didn’t smile at all",cold room kettle not work receptionist not smile,1
4951,The location,location,1
4952,Expected a room with window but didnt get one,expect room window not get one,1
4953,Such a surprise when we opened the door to find a spiral staircase up to the very large bedroom,surprise open door find spiral staircase large bedroom,1
4954,Free wife would be nice,free wife would nice,1
4955,Room service. They are lovely. And the house keeping were so quite and discreet.,room service lovely house keep quite discreet,1
4956,Very dated only good thing about the hotel is the location,date good thing hotel location,1
4957,There honestly wasnt anything I was happy about and I'm not usually a complainer,honestly not anything happy I not usually complainer,1
4958,The bed was so comfy. The staff was lovely,bed comfy staff lovely,1
4959,"Excellent location, friendly staff, nice view, comfortable room.",excellent location friendly staff nice view comfortable room,1
4960,"General speaking the location, and hotel was awesome.
Surely recommended and be there again!",general speak location hotel awesome surely recommend,1
4961,"The location of the hotel was one of the reasons we chose it. It is close to the underground and the plaza, with many restaurants and shops available to you within a few minutes walk.",location hotel one reason choose close underground plaza many restaurants shop available within minutes walk,1
4962,"Food was good, the room was comfortable and clean. All round a great stay",food good room comfortable clean round great stay,1
4963,"A fantastic stay . We were lucky enough to be given a free upgrade to the executive suite which made our stay all the more special. Beautiful room ,friendly staff and an amazing view. Would definitely recommend 😊",fantastic stay lucky enough give free upgrade executive suite make stay special beautiful room friendly staff amaze view would definitely recommend,1
4964,Terrace was nice and unexpected. Bed was very comfy and furniture had style in general.,terrace nice unexpected bed comfy furniture style general,1
4965,"Hotel is in a good location, close to Canary Wharf Pier for the River Bus, as per reviews this is not a luxury high class hotel with brand new fittings and fixtures. It's older and tired, think of a 1900's Edwardian house! However it does have a level of character and charm. Get it at a good price and it's a place to rest your head in the evening. Would I stay again if I was paying myself, yes probably!",hotel good location close canary wharf pier river bus per review not luxury high class hotel brand new fittings fixtures older tire think edwardian house however level character charm get good price place rest head even would stay pay yes probably,1
4966,"Well for starters if they didn't over charge us for are alcohol, gave us food which was cold asked to change the sauce the chef started shouting at waiter. Smell of smoke all around the lobby couldn't have breakfast it is that bad. Pictures on website show there's a swimming pool when there's not place Is not clean",well starters not charge us alcohol give us food cold ask change sauce chef start shout waiter smell smoke around lobby could not breakfast bad picture website show swim pool not place not clean,1
4967,Good,good,1
4968,"The price. Value for money and in a good location.
All of the staff were very friendly and helpful.",price value money good location staff friendly helpful,1
4969,Comfy room,comfy room,1
4970,Food is absolutely amazing! Chicken ceaser salad is to die for and the sandwiches are amazing!,food absolutely amaze chicken ceaser salad die sandwich amaze,1
4971,"Nothing really, just the location was ok",nothing really location ok,1
4972,"Fantastic value for money, easy to find from Canary Wharf tube, no queues at reception, quiet room, free upgrade on room. I would definitely stay here again.",fantastic value money easy find canary wharf tube queue reception quiet room free upgrade room would definitely stay,1
4973,Friendly staff at Reception.,friendly staff reception,1
4974,We paid for a meal voucher for evening meal but weren’t not told that it only could be used in The Chinese restaurant. So we lost £25 ii,pay meal voucher even meal not not tell could use chinese restaurant lose ii,1
4975,"The location was great for our visit to an evening at Boisdale in Canary Wharf. The room was a good size, clean with plenty of hot water ..magazines available to which was great .",location great visit even boisdale canary wharf room good size clean plenty hot water magazines available great,1
4976,they charge me 2 times for same dates???????,charge time date,1
4977,"Location of the hotel, although difficult to find with the works surrounding the nearby hotels.",location hotel although difficult find work surround nearby hotels,1
4978,The Ambiance and beautiful decoration,ambiance beautiful decoration,1
4979,Great price. Food from the pizza bar was good. Rooms clean.,great price food pizza bar good room clean,1
4980,TV,tv,1
4981,Bed was confortable but main issue was cleanliness,bed confortable main issue cleanliness,1
4982,The fact that I rung reception 17 times to get no response 2. I left my champagne equipment in my room and they was taken yet again even though I put a note on them stating they was mine not the hotels,fact ring reception time get response leave champagne equipment room take yet even though put note state mine not hotels,1
4983,"Bedroom was excellent, and very comfortable. 
Staff were helpful, and friendly.
Restaurant was excellent, and good value for money.",bedroom excellent comfortable staff helpful friendly restaurant excellent good value money,1
4984,"Generous breakfast buffet - you can help yourself to anything.
Large room (upgraded from a single, which they said are very small) and great location for docklands or city airport",generous breakfast buffet help anything large room upgrade single say small great location docklands city airport,1
4985,Location was very good and room was very spacious and clean.,location good room spacious clean,1
4986,"Booked for my sons 21st birthday trip, not impressed, very dated and old fashioned and not the best service",book sons st birthday trip not impress date old fashion not best service,1
4987,"unexceptable cost for internet - no free wifi access.
we pay for late cheque out - they havent got any room to leave your lagguage!",unexceptable cost internet free wifi access pay late cheque not get room leave lagguage,1
4988,We had an executive room on 9th floor. Very clean and comfortable considering the great value price we paid. Tea and coffee making facilities were in the room. Shame about the moths which flew out of the towels when we went to use them!! Good selection for breakfast. Hotel needs some TLC as it is dated in some areas but is exceptional value for a budget hotel in Canary Wharf. Will be back.,executive room th floor clean comfortable consider great value price pay tea coffee make facilities room shame moths fly towel go use good selection breakfast hotel need tlc date areas exceptional value budget hotel canary wharf back,1
4989,"Our first impression of the hotel was very good yet this changed dramatically during our Check-in. I enquired about the payment method whereby I had believed this had been paid, the man at reception dismissed my claim and got very abrupt, diminished my intregity and made me feel very uncomfortable infront of my Fiancée and other hotel users. 
We decided to put this behind us and enjoy our stay when my Fiancée and I where confronted in the lift on the 8th Floor by two pitbull dogs and their owner. My partner has a fear of dogs and to be locked in a lift 8 floors up with these two agressive hyperactive dogs was a total disgrace! My Fiancée was left shaken and scared for what was suppose to be a relaxing holiday!
Secondly, the heating was not working in our Room. We had to endure the 1st night in terrible conditions with 1 light blanket. Despite numerous switchboard/reception calls and finally a meeting with Hotel Manager the following morning and highlighting my Fiancée Health Issues as a (Cancer patient) and agreeing to install two portable heaters in our room as its was a 'Maintenance Issue' thats all they could do. My Fiancèe and I where dissapointed to return to our rooms for the second night to yet again no heating, nor any heaters. The heaters finally arrived to our room at 01.40am on our last night - somewhat 5hrs before our Checkout. 
This was both my Fiancée and I first visit to London for our anniversary . As it was a short weekend break, the events that occured created a negative vibe on the weekend. Our stay in this hotel was very poor,the staff where very inconsiderate and unhelpful, the conditions we had to endure where terrible.
 I would not recommend this hotel to anyone!",first impression hotel good yet change dramatically checkin enquire payment method whereby believe pay man reception dismiss claim get abrupt diminish intregity make feel uncomfortable infront fiance hotel users decide put behind us enjoy stay fiance confront lift th floor two pitbull dog owner partner fear dog lock lift floor two agressive hyperactive dog total disgrace fiance leave shake scar suppose relax holiday secondly heat not work room endure st night terrible condition light blanket despite numerous switchboardreception call finally meet hotel manager follow morning highlight fiance health issue cancer patient agree install two portable heaters room maintenance issue could fiance dissapointed return room second night yet heat heaters heaters finally arrive room last night somewhat hrs checkout fiance first visit london anniversary short weekend break events occur create negative vibe weekend stay hotel poorthe staff inconsiderate unhelpful condition endure terrible would not recommend hotel anyone,1
4990,location for the 02,location,1
4991,"Situated well, clean, tidy, bed was comfy, shower was good",situate well clean tidy bed comfy shower good,1
4992,One thing was good in there it was grapefruit juice,one thing good grapefruit juice,1
4993,In an excellent location. Clean and cozy room. Nice warm shower.,excellent location clean cozy room nice warm shower,1
4994,Location,location,1
4995,"I like the position of the Hotel 
In a modern Place 
You have everything around 
Mall, Restaurants, the Tube Underground and DLR etc etc",like position hotel modern place everything around mall restaurants tube underground dlr etc etc,1
4996,Location,location,1
4997,Restaurant has nice views.,restaurant nice view,1
4998,Confort and view from the rooms. Buffet restaurant on site for good price,confort view room buffet restaurant site good price,1
4999,The room was clean and it had a large tub that allowed for a nice long hot bath.,room clean large tub allow nice long hot bath,1
5000,Price is good .,price good,1
5001,"The staff are great, the location is perfect.",staff great location perfect,1
5002,Everything,everything,1
5003,USB sockets would have been nice,usb sockets would nice,1
5004,nice location,nice location,1
5005,Reception staff were welcoming and helpful,reception staff welcome helpful,1
5006,Canary Wharf was a good location for our trip.,canary wharf good location trip,1
5007,Takes dogs,take dog,1
5008,The location,location,1
5009,Location was good.,location good,1
5010,The whole experience of canary wharf,whole experience canary wharf,1
5011,"The bed was exremly bad with alot of noise,really very small and moving alot. 
The room was really small and not suitable for two persons.",bed exremly bad alot noisereally small move alot room really small not suitable two persons,1
5012,Absolutely beautiful hotel and great value for money! I will definitely be staying here again! Thank you Britannia :),absolutely beautiful hotel great value money definitely stay thank britannia,1
5013,"Great Location, clean and spacious room and facilities",great location clean spacious room facilities,1
5014,Room was 29c . Air con broken. Asked for new room and told its fully booked. They then opened a window fully and by 5am both my 8 year old and my self were freezing cold. Impossible to have a shower. Checked out 7am after requesting a new room to shower in was denied. Reception was full of hookers . Not suitable for children,room c air con break ask new room tell fully book open window fully year old self freeze cold impossible shower check request new room shower deny reception full hookers not suitable children,1
5015,The waiting time for check in. I did to wait for 25 minutes,wait time check wait minutes,1
5016,Check in slow rude stFfy,check slow rude stffy,1
5017,"Absolutely fantastic great location, large room. Excellent all you can eat breakfast",absolutely fantastic great location large room excellent eat breakfast,1
5018,"Friendly welcome and nice breakfast service, clean and tidy washroom. Although the room looks old style, it is valuable to stay in this price.",friendly welcome nice breakfast service clean tidy washroom although room look old style valuable stay price,1
5019,"The room had an excellent view facing east of London from one of the upper floors, and the room was very large with nice traditional wooden furniture. Very happy with the room and experience.",room excellent view face east london one upper floor room large nice traditional wooden furniture happy room experience,1
5020,"The upholstery of the forniture of the room was kinda worn, and the bathtub all scratched",upholstery forniture room kind wear bathtub scratch,1
5021,Superb hotel massive rooms great location and breakfast was superb def recommend,superb hotel massive room great location breakfast superb def recommend,1
5022,Good,good,1
5023,The bed was terribly uncomfortable the ventilation system was terribly noisy whole place very very dated very bad experience,bed terribly uncomfortable ventilation system terribly noisy whole place date bad experience,1
5024,Room was great and very large. Always a nice welcome at reception. I keep coming back so it must be good,room great large always nice welcome reception keep come back must good,1
5025,Nothing at all.,nothing,1
