Title,Review,Date,Rating
Ok not as bad as others have said,"Stayed here for 2 nights in between Xmas and new year and was not as bad as we were expecting. Bedroom although dated was clean and warm we did have a window but view was of the adjacent building site but as we were not in the room much it didn't bother us. The brittania is located in Canary Wharf easily accessible to the city by underground, DLR, or by river and there was plenty shopping and eating areas near. We stayed on a dinner bed and breakfast basis both served buffet style with a good choice for both options. All in all in our opinion a decent basic hotel with good transport facilities on hand. At the end of the day you get what you pay for and this didn't break the bank as other hotels in the area would have",Date of stay: December 2017,"<span class=""ui_bubble_rating bubble_30""></span>"
Overnight stay,"Well, I didn’t expect much as had read the reviews and needed a hotel in this location but it really is in need of major refurb works! It was once a lovely hotel but now, it’s a low budget hotel and is attracting the wrong people in this area. I assume a lot of the resident are local workmen who need cheap accommodation as the clientele wasn’t the usual for Canary Wharf. The reception area was ok and lots of areas for guests but it’s all so dated and extremely worn out. The views to the dock are great, but not next door as it’s a building site. It’s all very dark and dismal. The rooms are so old and the beds are tiny. Everywhere was clean although either damaged or broken. I’m surprised it’s still open really as for the area, it’s very low budget. Although we didn’t pay that",Date of stay: December 2017,"<span class=""ui_bubble_rating bubble_20""></span>"
Overnight stay in December,"Helpful friendly staff , the breakfast plentiful and looks good. The hotel is clean, handy for tube and restaurants.  However the room 313 is clean but in need of a lot of TLC , bath tap top cover missing, bath hand rail missing, sink plug stuck in sink, a bugger on newly painted finger nails!  Wardrobe door was stuck on runs and needs careful positioned fingers, several times sore fingers. Gold metal box cover on power hole behind the bedside cabinet is artistically positioned dangling off with one loose screw! Nice touches eg tv, iron, kettle and tea items. Extra pillows and blanket in wardrobe.   Bar man friendly and helpful. But however the bar area down stairs is not a home front home experience!! I counted at least ten sofa with black heavy duty tape beautifully designed,",Date of stay: December 2017,"<span class=""ui_bubble_rating bubble_30""></span>"
Perfect in every way,"What a beautiful place to stay Friendly, Helpful & welcoming Staff Clean and large room The Food was very tasty Beautiful Hotel Everything was there to make this a perfect stay We will most definitely be staying here again",Date of stay: December 2017,"<span class=""ui_bubble_rating bubble_50""></span>"
"Poor, run down, tired hotel","What a sorry excuse for a hotel in the middle of Londons most modern, business district. The hotel seems impressive from the outside but it all ends as soon as you walk in through the doors.  The carpet is stained and filthy, leather sofas may as well be cushions on the floor as they are so sunken and the rooms are just dirty and old. If you pay any less than £150+ a night for a Canary Wharf hotel, you will get a poor standard.  This hotel was £69 and the quality is reflected in the price. Rude staff, poor rooms and a health club which is used a normal club for non residents is chargeable. I would only recommend this hotel for a very quick cheap overnight stay.",Date of stay: December 2017,"<span class=""ui_bubble_rating bubble_10""></span>"
Really good,"Was worried about staying here going off the reviews but was surprised at how good it was, lovely big room , very clean with good views and the food was also good. The staff were very friendly . I went on one of the National holidays and will be going again.",Date of stay: December 2017,"<span class=""ui_bubble_rating bubble_50""></span>"
Rude and unpolite staff,"I have stayed in the Britannia group of hotels earlier but this experience was my worst.  I had requested for an early Check-in as my flight landed around 7am in London but I was denied that. Post which I got a non-smoking room which was comparatively smaller in size than the one which I had paid for.  Later, I had booked a taxi from the hotel to Victoria Coach Station for 7:30am in the morning but then the taxi arrived at 8am due to which we missed our bus to Nottingham.  I had my convocation that day which was on stake because of the carelessness of the hotel staff. We had to pay £65 per ticket for the train and reach Nottingham. Overall the hotel was nice but the staff made our experience very bad and regretful.",Date of stay: December 2017,"<span class=""ui_bubble_rating bubble_10""></span>"
Rule Britannia,"Rule Britannia, Britannia rules the waves. The waves of hot recycled air from a broken thermostat that is. Our room was kindly upgraded upon arrival to a room with a window. However, this this room was not all sweetness and light. Unfortunately, somewhere along the line, the hotel had mistakenly labelled the Sauna as Room 234. With a thermostat stuck on 29degrees, imagine, if you will,Thailand's heat, but with grotty views through a filthy window that did not open of a building site. No matter, sleep was a necessity so we struggled and sweated through a restless night on our 'double bed' of two beds pushed together until morning finally arrived.   When we went down to ask whether our heating could could be fixed or whether another room was available, we were informed that the",Date of stay: December 2017,"<span class=""ui_bubble_rating bubble_20""></span>"
Stay somewhere else,"Greeted by a friendly receptionist & that's the only positive.  Was told we could be upgraded to a room with a window with a river view for £20 extra!!! No river view all I saw was a puddle on the roof top of the front entrance.  Room was freezing (& I'm from Scotland) so put on heating and was cold air that blasted out, even when I put temp up to 24   Only 1 UK plug in our room, I spoke to a greeting face receptionist on Wednesday morning to ask why there was only 1 UK plug in my room and was told that's the way the hotel was & I would have to buy an adaptor!!!!! Absolutely disgraceful!  Receptionist wasn't pleasant or helpful it was like I was an inconvenience to her!   Bed linen was clean. Walls & carpet were stained.",Date of stay: December 2017,"<span class=""ui_bubble_rating bubble_20""></span>"
twixmas national holidays 2 night trip to the hotel in London canary wharf,national holidays twixmas 2 night stay at hotel Inc bed breakfast and evening dinner.  hotel okay clean but dated. staff helpful and friendly rooms good. big and have everything you need but need an update food as part of the package not so good  hit n miss. cold or barely warm and watered down. . same food offered on 2nd night hotel in good location to use river boats to explore which is highly recommended. all in all the hotel is okay for what you pay on this mini break but not sure I would do it again!,Date of stay: December 2017,"<span class=""ui_bubble_rating bubble_30""></span>"
"Unfriendly management, cold rooms, dated decor","I'll start with a short summary: don't stay at this hotel unless all others in the area are fully booked on the nights you want to stay (as was the case for us).  We decided to combine a night at a show in the O2 with an overnight stay in a hotel in the Canary Wharf area, mainly for the convenience and also as we'd had good experiences with other hotels in the same area in the past. At the time we booked, availability at hotels other than the Britannia was very limited, so we decided to give it a try.  We arrived around 4pm on the day of the show, where the receptionist ""upgraded"" us to a larger room. When we went up to the room, it felt rather cold (13°C to be precise), so we bumped up the heating to a target temperature of 25°C and went back out on our way for an evening of",Date of stay: December 2017,"<span class=""ui_bubble_rating bubble_10""></span>"
Very noisy 'guests' a regular feature,"Book one of the more expensive rooms or you will be disturbed at all hours by ladies of the night (and day) howling like foxes! I stay fairly regularly on business because of location, and hear the same woman screaming regularly!",Date of stay: December 2017,"<span class=""ui_bubble_rating bubble_30""></span>"
What a find!!,I booked quite late for tbis trip so being December and the lead up to Xmas I expected London to be busy.... Couldn't believe the  prices Travelodge and the like were charging.....then I found this place.....6 mins walk from the office and at £125 incl b'fast it was around £35-40 a night cheaper than the nearest avavailable TL!!  Hotel  a few mins walk from Heron Quay station on DLR....booked double room for same price as single...room.is huge....views over docks....massive comfy bed.....breakfast is extensive and very nice...something for everyone but in particular they do tinned plum tomatoes....no hotel in London does that!!!  The bar staff are really friendly.....Sri is are far cheaper than any local bars/pubs which average around £5.50/5.75 for a pint......bar is open until,Date of stay: December 2017,"<span class=""ui_bubble_rating bubble_50""></span>"
1 night stay to go to 02,"Room was huge,very good facilities,although the heating did not work properly.Bed was comfortable,but having booked a double room was surprised was actually2 single beds pushed together with a double sheet over the top.Really expected better",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_30""></span>"
a great disappointment - the only good point was the price,A very sad hotel even though it is in the middle of the modern docklands. A warm welcome at reception but a very tired room - clean sheets and towels we the only positive thing I can say - so sorry. This hotel needs a lot of love - even the staff obviously  had no pride as the hotel is is so run down. I member of staff stepped out of the lift in front of use leaving 2 beer bottles on the lift floor. Parking is a joke too - the car park is very tight and with a strong smell of canabis. We paid for parking but no places were available so had to park in an NCP carpark nearly a miles walk away. Not good with a lot of heavy suitcases.   We also visited the Pizza restaurant which is obviously sublet. We tried to order a small pizza to share as a snack only to be told we could only,Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_10""></span>"
A pleasent surprise,"Just stayed here as part of a coach trip, London and Harry Potter tour. Have to say what a surprise, the lobby area was clean, staff were friendly. Our room on the 2nd floor was clean, tidy, warm, to be honest the cleanest britannia hotel we have stayed in so far. Yes, there were some slight marks on the walls and ceiling, but nothing major. The hotel could do with updating and carpets replacing, but this must be a britannia hotel issue, as they all seem to be the same. Otherwise, a decent stay, really could not fault, we must be easily pleased considering some of the reviews on here.",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_40""></span>"
A very tired hotel,"Stayed just to meet up with friends. Hotel is very tired and could do with a revamp! Located very good for Canary Wharf short walk to the centre.    But the room was too hot, unable to open windows, air con not working, breakfast was okay but restaurant very dowdy. Okay for one night but that’s all",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_20""></span>"
"avoid at all cost, disgustting","This is by far the worst hotel I have ever stayed in. Its filthy & dated. The room we stayed in smelt damp, the sheets were stained and the towels had holes in them. The staff need to be sent on a customer training course and this includes the manager. They are extremely rude and look like they have not only brushed their hair but also not washed in months, they are ill informed over the basics & had no idea how to greet a paying guest nor speak to them!!  The sofas in the bar area are held together by tape! the glasses were filthy. I would never ever stay at this hotel again and will most definatly not recommened it to any one! A night sleeping on a park bench would be much more appealing",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_10""></span>"
Britannia INternational Hotels,"Pretty Old property - not very well maintained.. Need some serious renovation..Budget hotel in the heart of Canary Wharf!         Many rooms do not have windows, and check in of pre-booked registration takes more than 40 minutes!",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_20""></span>"
Dated,"Paid £79 for a single occupancy room. The room was huge 2 twin beds and a soda bed. Everything about this hotel is dated. It could do with some healthy investment, that said it was clean and served it's purpose as a place to get changed in and sleep over for a work christmas do. The rooms have zero sound proofing you need to be a good sleeper to get a decent rest. The staff were all friendly enough, it wouldn't be my first choice but was good enough value for Money for London in December.",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_30""></span>"
Disgusting,Well where do you start ? It could be the filthy reception or it could be the mis advertising of this shockingly bad hotel. The staff are rude the hotel is generally dirty and run down and then the charge for parking when they have no room in the disgusting car park that stinks of cannabis. I guess all of this and no investment in decades puts this as one of the worst hotels I have ever stayed in and will not be coming back. They should be prosecuted under the trade descriptions act !!!!!,Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_10""></span>"
Disgusting,"Stinks of stale cigarette smoke, furniture from 1982, disinterested, disengaged staff.. no one answers the phone I reception, feels like sleeping in a room from some kind of horror movie. Please don’t stay here unless you are completely desperate. Expensive and terrible value for money.",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_10""></span>"
Dreadful room and that was after being upgraded,"This hotel is in dire need of refurbishment. I was upgraded on arrival and the room was dreadful. Marked carpet, threadbare in places, wallpaper peeling from the wall and in one or two places no wallpaper. The furniture was really dated and very marked too. All in all a very poor experience",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_10""></span>"
Faulty Towers in Canary Wharf,"It’s always suspicious to have a conviniently located hotel at a great price.  Having read many of the reviews that left us in stitches... we had to see this baby for ourselves!  The gigantic pink duck, chinese war statues and gaffer taped sofas actually exist!  The grotto like bar is sectioned off with elaborate wrought iron gates, and the carpark doubles as general materials storage and street litter blown in from the road.  Having said that we had a blast :)  It’s super close to the O2.  Maybe 15-20 mins tops on the tube including walking.  The rooms and bathrooms are perfectly adequate, clean at first glance (I didn’t want to tempt fate) and a reasonable size.  Staff were helpful and friendly and the bar was open late and still buzzing much later then others in the area.  I",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_40""></span>"
Groupon booking well worth the money,Absolutely beautiful room maybe a little big for my needs😂 we had late check out for a small extra cost but was a well needed lay in. The food was absolutely amazing.. Had 2 helpings of the chilli. Breakfast was not as nice as dinner but still a nice hearty choice and all coked to a good standard 👍👍,Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_50""></span>"
Haha,"Room with no windows, sockets didn’t work, heating didn’t work, kettle didn’t work. Electric heater was grubby. Lazy staff, rubbish bar with no cocktails and overpriced drinks. Small selection at breakfast, waste of money and clearly people don’t care.",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_10""></span>"
Happy i could bring my dogs for Christmas,"We came with our 2 labradors for 2 nights over Christmas & Boxing day. Weve just used the bedroom so i cannot comment on the other hotel areas. I last visited when the hotel was built and it hasnt changed! I wanted a dog friendly hotel that would allow our labradors in the bedroom which not one other London hotel i phoned would allow.  I question some of the other negative reviews as they all got a discounted price so surely you realise in advance this is because the hotel hasnt recently spent millions on a refurb. When youre only staying a night or two and only intending to be in your room briefly does it matter that your furniture is ""dated"" ?  The positives are the room size. Powerful hot shower. Warm rooms. Clean sheets and towels.  The negatives are rock hard bed. Dirty",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_30""></span>"
Hellish do not go there!!!!!!,The manager was useless his staff were useless and uncaring.....the place was DISGUSTING in every respect....I stayed in better and cleaner places in Baghdad during the aftermath of war....DO NOT STAY THERE!!!,Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_10""></span>"
HOW IS THIS 4*?,"Came in late December to a receptionist who was less than helpful.  Clearly 2 or more coach parties had arrived at the same time, but he was rabbiting on about stuff he could tell you when you collected the keys.    Entered the room and it was clean but very dated.  The dressing table had massive chunks knocked out of it all across the front and marked.  The beds had a single cotton sheet and we had to look in the wardrobe (door promptly came off the runner) for a blanket, yes in December!  The wall behind the bed had marks all over it, one of the bedroom lights didn't work. and one of the lampshades had marks on it,  The soap dish in the bathroom clearly hadn't been cleaned at all as it was absolutely disgusting!  The bath had a chunk missing out of it by the plughole.  The",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_20""></span>"
"Ideal Location, shame about Hotel","Visited London late December 2018 and stayed for 4 nights at the Britannia Canary Wharf. One of the plus points was the hotel is close to rail station for access anywhere you would like to go. The hotel is probably typical of all Britainnia hotels, once great but now in great need of refurbishment. The rooms in need of decoration and modernisation and the air con regardless of what setting you gave it was always cold, but on the plus side beds were generally clean and comfortable. My wife and I found the food to be adequate and eatable with no complaints, where as the bar and area was shoddy and armchairs patched up with gaff tape, the biggest complaint was the Staff who we found to be arrogant and unwelcoming TO ALL customers. Enterainment was limited to a family of Mice who",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_30""></span>"
If I could give it 0 stars I would,My partner and myself stayed here and all I can say is don’t book it. First of all we arrived and the check in staff where something out of a silent movie no customer service training obviously given . The room was adequate at best the bed was terrible we were given 2 small towels. I slept for about half hour because of all the noise . The spice Indian restaurant was horrendous the staff didn’t even ask us if we wanted another drink after waiting 40 minutes for our food with a basically empty restaurant. Then they had the cheek to point out they don’t add a tip but wanted one. Safe to say I will never stay here again and I will never advice anyone too either .,Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_10""></span>"
Ignore this at your own peril!!,"Before staying at this hotel, I decided that I would form my own opinion despite what other reviews said. Big mistake. I came to London with my mam for a nice pre-Christmas break, shopping and sightseeing. The hotel's proximity to the DLR and the underground station are it's only saving graces. The hotel itself looks lovely from the outside, but it's like stepping inside a time warp where nothing really flows cohesively. The first shocker was that you have to pay £7 per day per device for Wi-Fi!!! The staff (except for one chef who always said hello with a smile) are disinterested and, at times, rude. We went into the Friday's bar on Saturday evening which was quiet, but pleasant. Until we left at 9.15 to go for a cigarette outside to find ourselves locked out upon our return!!",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_10""></span>"
Lots of positives but.....,"The hotel is clean, the rooms are clean and the staff are polite and helpful and efficient.In our room the beds were comfy and we slept well but the shower was mismatched and did not work properly cos it was old. The food was plantiful and tasty BUT the organisation in the buffet was absoluetly dire. Needs the manager to take a step back and review how drinks, food, etc are placed for maximum access. It was a big mess.",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_30""></span>"
One night visit,The hotel is very dated. The appliances need to be upgraded and our stay was ruined by a faulty bath plug and the noise from the building site next door   The plug got stuck and despite several reminders to the reception staff we had to shower with our feet immersed in a bath of cold water. Parking is £21 for an overnight stay.  We do not recommend this hotel unless you are desperate.,Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_20""></span>"
Perfect location for the 02,Ok so definatley not a 4star but you get what you pay for and for £55 for the night I cannot complain. Great location excellent transport links and only one stop to get to the 02. Spacious and clean but dated room. Paid for breakfast this morning which kept getting replenished so was fresh for a buffett style and noce and filling. All the staff have been polite and professional.  Would defiantly stay again when visiting London.,Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_30""></span>"
Poor value for money in this Britannia International Hotel,"I stayed in this hotel for one night only during a business trip. I guess I'm not expecting too much when staying in a hotel for one night, but this place is really not worth the price that they put on the bill.  A few things that I noticed during my stay: -  It appears that the hotel (including the rooms) needs some serious renovation, as pretty much everything has a very used look and feel to it.  - Breakfast is ok but quite basic.  - First thing to do at the reception is pay the bill upon arrival. Reception staff was comparably unfriendly in my opinion.  - WiFi is free for only 20 minutes. After that it is 7GBP per device. I do not think that this is really appropriate in today's times.  - It can be challenging to get to the entrance of the hotel because of contruction",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_20""></span>"
Quite possibly the worst hotel I have stayed at in 20 years,"No safe boxes in room , even the non smoking rooms reeked of smoke , except reception which smelt of the curry house 15 feet away .   Much more to say but none of it good . Checked out after 1 night , never to return .",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_10""></span>"
Rated but clean. It's fine.,"This hotel is fine. I didn't spend any time in the communal areas and reception is slow on arrival but the room I had was perfectly adequate. It was dated but clean and comfortable. There were noises around until about 11pm (I couldn't work out what it was, perhaps the lifts) but I slept fine for the three nights I stayed. Bathroom was large and everything worked as expected.  If you're just looking for somewhere to sleep then it really is just fine. I didn't eat here nor spend any time at the bar or in the lounge.",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_30""></span>"
Run down and dated,"This claims to be a four star hotel but I would only give it two stars. Its very dated and tired. However, the front of house staff and bar staff were very friendly. It claimed to have a pool but that was all shut and had long since been so. We paid £200 to upgrade our room and later found they had charged us twice so now a further £200 out of pocket. Hotel won't take responsibility and referred us to head office who have as yet not answered our emails . There was a lot of noise and fighting but hotel manager said there was nothing they could do. Would not recommend.",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_20""></span>"
Shabby is the only word,"This is my first ever negative review in trip advisor, but needs must  We somehow got a steal by getting room for 50 quid and then on arrival upgrade, so a result.....but OMG if we’d paid normal rate of 140 quid for normal room I would’ve been livid  It’s nice and local for O2, and the staff were good (we did get upgrade without asking!)  But this place is so grubby, don’t feel like been cleaned let alone decorated since early 80s  We got a massive deal, so result, and it’s a decent base after night out at O2....so isn’t that bothered....but if I paid full to go here for more than one night I would be livid  Dirty, grubby, old fashioned   And coming from a Londoner I’m embarrassed that this place is meant to represent London hotel to be honest",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_20""></span>"
Shabby with no chic!,"To be fair, we booked through a Groupon offer and as such we were not expecting any frills... But with a bootle of wine included we thought why not!?  One thing is to be ""shabby chic"" and another to just be ""shabby"".   Sadly this hotel has failed to keep up with the times...the Wharf has grown around it and the Britannia now sits overshowed by bigger - newer - renowned alternatives.   From the tired reception, to the jumble sale decorations that desperately try to ""fit in"" but ever so carelessly ""stand out""  (3 Chinese warriors and two giant ducks on the lifts landing), to the 70s style staff uniforms and the pale grey sausages at breakfast.   Impossible not to mention the smell of fresh paint in the morning... Sunday at 09.30am and the workers are apologetically painting the",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_20""></span>"
Terrible,"This was bought as a gift for my husband and i, it was an overnight stay with dinner, breakfast and a bottle of wine. I really do not know where to start with how awful it was, not the standard we are used to, but cant imagine its to anyones standard. From the moment we arrived to the moment we left not one member of staff smiled or said anything nice. The place is tatty and the bed hsd a very thin uncomfortable mattress, chunks missing from woodwork, poor standard of decor threadbear carpets, lifts breaking down. Nothing could have prepairec us for the dining room!!! The evening buffet was grey, every food was pale amd grey, when we asked for a bottle of wine the waiter snapped go to the bar and get it yourself!! The breakfast was even worse, who would have thought you could",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_10""></span>"
Terrible stay,Stayed in a room for 1 night with twin babies on 2 occasions someone tried to enter our room at night. then there was loud arguments from the room next door in early hours of the morning that eventually the police was called woke the babies and had no sleep all night. In the morning ask reception what had happened to keep up us all night. And woman at reception said maybe they just had a fight in room next door. No apologies. Worst stay ever.,Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_10""></span>"
Terrible. Mice running around the bar. Check out their food hygiene rating before you travel,"This must be one of the worst hotels I have every stayed in. What was obviously once a very plush and upmarket hotel, this is now very run down and on my ""never return"" list.  On arrival you notice A4 printed signs everywhere - the wall behind reception is full of signs telling you that aggressive or abusive behaviour towards staff will not be tolerated - this goes without saying, but the reason the signs are needed become obvious when you start to explore the hotel. Customers must generally be very unhappy. Then there are the CCTV signs, cheap laminated signs for their various food outlets etc dotted around the ageing and poorly maintained hotel.  Having eaten out in Canary Wharf in the evening, we returned for a drink in the bar and found ourselves sharing the sofas with a",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_10""></span>"
The hotel needs updating,"In its time it must have been number 1, The staff try there best with what they have to work with, they all  very welcoming and helpful. The hotel is now passed its best by a long way.  House keeping in the rooms is good but its 2018, no bath towels, no safe , no drinks Fridge  and worst of all no extractor fans in the bathroom.  They offer lock up safes at reception but at a cost. What did get to me was the stairs or fire exit, very poor carpeting and were is was really worn stuck together with tape. Plus its dirty.",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_30""></span>"
Very good for the price,"Stayed 2 nights as part of a national holidays coach trip and couldn't fault it for what we paid.  Good size room which was clean with plenty of storage space. Bathroom clean with a Jacuzzi bath and plenty of towels. Food was good, plenty of choice, all hot and well cooked. At  £150 each for two nights dinner bed and breakfast including our coach travel was definitely value for money. Not really sure what people expect from a budget hotel. Looking at some of the reviews I think I must have been in a different hotel or maybe I just don't expect a five star hotel for three star prices! Would certainly go again.",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_40""></span>"
"We had great time, but seriously overpriced in December","So Britannia International is a really old-fashioned 80s like Hotel and actually this is what I was looking for. It was in middle of December and found the prices well-above the average, payed almost 200 pounds a night. Me and my girlfriend wanted to stay close to downtown, but also get a decent sleep without any noise or interruption.   Hotel is located approximately a ten minutes walk from Canary Wharf tube station, which is alright, but get ready for the unforgiving endless London wind by the canals. Nice and helpful staff, got a deluxe room for free of charge, altough I booked a regular room.  Breakfast is not included, but certainly worth every penny if you book with breakfast. It is really-really good. Going to London in december is absolutely not the best idea, expensive",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_30""></span>"
Weekend stay,"Stayed for a weekend, and the room we stayed in was quite warm and there was nothing to adjust the temperature. There was a constant vibration noise right above of us that lasted the whole day and could not let us sleep.  I spoke to the reception about this the next day and they offered me a different room at no extra cost. The ventilation there was better but still very warm. Even if we adjusted the thermostat to 16 the room temperature stayed 26 through the day.  The customer service was good, and room service had nice food and they were fast in delivering to the room. Overall the rooms and the food were good value for the location, the rooms were nice and clean.  The noise problem seems to occur in the first floor so bear that in mind if you plan on staying.",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_30""></span>"
"Worn, unpleasant, ripped off.","Always queuing for the reception. Had to wait for the head guy behind the desk finish his animated quarrel with another customer claiming to be ripped off on the price, then taking him to the bossman. Staff uninterested (and probably underpaid). The room was long overdue for a renewal. Sticky carpet. Leaking showerhead squirting all over. Drain in washbasin clogged. TV was actually working decently. All furniture surfaces scratched and well worn. Behind the curtain a view of a metalclad niche filled with debris, room 221. The only consolation is the proximity to Canada Square. I will not come back for all the cows in Texas. As for the price, I paid £160 on Hotels.com, to find out I could have paid £45 on site. Thank god this lasted only a single night.",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_10""></span>"
Worst ever,If you like mice running around your feet in the hotel bar then this is the hotel for you. The staff also are not even fazed by this and the mice has a good run into the restaurant. Apparantly the mice refused the food from the kitchen it was that bad.,Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_10""></span>"
Worst hotel I’ve ever stayed at,"This has to be hands down the worst hotel I have ever stayed at. I bought this using a groupon deal which cost me £89 in total. In all honesty I do not know where my £89 has gone , The attached images just show how terrible this place was, I would never advise anyone to stay here",Date of stay: December 2018,"<span class=""ui_bubble_rating bubble_10""></span>"
02 visit,This Hotel is only one stop on the Jubilee line from the 02 It was very easy to check in and there was a fast check out system. The room was very clean but the beds were very uncomfortable I could feel the springs in the mattress and therefore didn’t get much sleep.,Date of stay: December 2019,"<span class=""ui_bubble_rating bubble_40""></span>"
Absolutely awful,"Sadly it’s now official, it’s the last time I’ll stay at the Britannia. No heating, hairdryer and iron didn’t work and clumps of hair in the bath. It’s a depressing place to stay, massive uncared and desperate state of repair. Great location and that’s about it.  Enter at your own peril!",Date of stay: December 2019,"<span class=""ui_bubble_rating bubble_10""></span>"
AMAZING CUSTOMER SERVICE!,Absolutely love this place. Amazing customer service and friendly helpful staff. The lobby area is a great place to work and have meetings with others. Had a great experience and grateful for Ranjit for helping me reserve some tables for a meeting I had. Definitely recommend you check them out! :) 5*+,Date of stay: December 2019,"<span class=""ui_bubble_rating bubble_50""></span>"
Avoid this hotel at all costs,"Reluctantly I have had to rate this hotel one star, but that is only because I have to on this app. But it should be zero. From the moment we parked the car and checked in,  it went wrong!  Firstly we had to pay for the car park at check-in, secondly the receptionist did not listen to me when checking in - I said 'I know we are early and the rooms might not be ready but thought I might be able to check-in to at least one of the five rooms we booked'. She rudely snapped at me and said I want to see your ID, so I made a joke by saying that I have never been asked for I'd before in a UK hotel. But was told by the receptionist that we need ID in this hotel!! Then she snapped at me and said you are early I can't check you in - how can I check you in if there are no rooms to check you",Date of stay: December 2019,"<span class=""ui_bubble_rating bubble_10""></span>"
Buen trato,"Nos alojamos en este hotel por un error de nuestra agencia con la reserva de nuestro primer hotel, la calidad no es la que esperábamos y el hotel es algo antiguo. Pero me gustaría destacar y agradecer el trato recibido por Louiza que nos trató mucha amabilidad en todo momento. Tuvimos algún problema con la habitación y las llaves de la habitación, pero Louiza se aseguró de cambiarnos de habitación inmediatamente y que estuviéramos cómodos en todo momento.  We stayed at this hotel due to a mistake of our agency with our first hotel's reservation, the quality is not what we expected and the hotel is a bit old-fashioned. But I would like to highlight and thank the treatment received by Louiza who treated us very kindly at all times. We had a problem with the room and the room keys,",Date of stay: December 2019,"<span class=""ui_bubble_rating bubble_40""></span>"
Christmas,What a strange old place. It thinks it’s up market yet it is old and dated.   First thing to notice is a railing missing as you walk in!   The staff are rude. Very few talk or even look at you. They insist the customer stands aside as they blast their way past. There is one very nice member of staff who works in the restaurant and is the man who carves the food. He is very pleasant.   Rooms not attended to and no notice as why or even that it wasn’t going to happen.   Bedrooms tired and dated and bashed around.   The windows are filthy and all need a really good clean to allow visitors to look out of them.   No decaf coffee. Really in these times!!!!   I asked for the bed side lights to be repaired as they did not work. No notice of any work being done and they didn’t work for,Date of stay: December 2019,"<span class=""ui_bubble_rating bubble_20""></span>"
Christmas lunch,"After researching for Christmas lunch advent and venues, found the International Hotel in Canary Warf very actractive proposal due to the strategically place situated. Car park very useful although didnt like the idea of paying before parking and worrying of extending stay without charged and being fined. Walking in main reception area without been challenged or asked my intention was a bit of surprise after having been there on earlier date!!! Walked in a restaurant and checked where my booking was, after speaking to the main manager in the Hotel, (food & beverage manager) in respect to booking a table, I realised that the booking was never made, not a major problem due to lots of empty tables and not cleared accordingly. Staff were plentyful but not directed accordingly to",Date of stay: December 2019,"<span class=""ui_bubble_rating bubble_30""></span>"
Clean Budget Hotel,"Having read some bad reviews l have to say l was nervous about this hotel.  Yes, the rooms are tired and the mattress wasn't luxurious. However, the room was clean and l slept well, so the bed was obviously comfortable enough.  Check in was okay and the concierge was excellent at ordering us a taxi. Having not had time to eat before the theatre it was nice to come back to the hotel and have something to eat without any fuss, plus with other guests arriving back it was a nice atmosphere, finishing the evening off nicely. Only criticism was that the bar was closed for a private function, so to buy a drink had to get one from the 'coffee bar', where the staff were not the best, slow and not really competent. Shower in the morning was good, cannot comment on breakfast as did not go",Date of stay: December 2019,"<span class=""ui_bubble_rating bubble_30""></span>"
